key,label,frequency
tolol,0,9
gak,0,89
hubung,0,2
nya,0,82
gugur,0,1
dgn,0,13
pake,0,23
hijab,0,2
syar,0,1
lo,0,27
bilang,0,27
bayi,0,1
panas,0,3
dalem,0,2
woyyyy,0,1
otak,0,20
jempol,0,1
singkron,0,1
sih,0,32
ya,0,77
nulis,0,1
komentar,0,2
geblek,0,1
tata,0,1
cowo,0,4
bgt,0,18
bain,0,2
hadeww,0,1
ntar,0,3
tinggal,0,4
lg,0,14
nyalahin,0,1
kitenya,0,1
oon,0,1
kmrn,0,4
mewek,0,1
skr,0,1
lengket,0,1
duhhh,0,1
labil,0,1
mbak,0,8
kya,0,1
abege,0,1
ajah,0,4
ato,0,2
cari,0,6
sensasi,0,5
biar,0,20
top,0,2
markotoppp,0,1
ertong,0,3
gk,0,8
kualitas,0,7
inti,0,5
kesel,0,5
att,0,13
gausah,0,2
anak,0,50
kasi,0,8
kembang,0,1
psikis,0,1
orang,0,75
bener,0,13
skrg,0,13
dikatain,0,1
benci,0,9
gimana,0,9
asa,0,8
tau,0,24
batesnya,0,1
nama,0,14
manusia,0,16
gaakan,0,1
suka,0,22
haters,0,2
hadewwwww,0,1
permpuan,0,2
sakit,0,12
jiwa,0,3
knp,0,7
jd,0,24
peran,0,1
utama,0,2
film,0,118
hantu,0,1
jeruk,0,1
purut,0,1
ky,0,2
khabis,0,1
stok,0,1
artis,0,30
ja,0,1
pantesan,0,2
tinggalin,0,2
laki,0,21
mikir,0,4
kali,0,14
perempuan,0,18
kayagni,0,1
ngurus,0,3
aja,0,80
becus,0,17
mending,0,5
bapake,0,1
didik,0,5
balajaer,0,7
nyampah,0,4
ig,0,6
bikin,0,30
caption,0,2
heboh,0,1
asik,0,1
ceramahin,0,1
tar,0,2
bikinin,0,1
lagu,0,4
sm,0,19
teh,0,2
melly,0,1
loh,0,7
judul,0,1
sabda,0,1
seonggak,0,1
koin,0,2
laknat,0,5
ngamuk,0,2
arti,0,9
iya,0,7
banget,0,43
goda,0,2
rt,0,10
gigi,0,3
duh,0,6
elah,0,1
smua,0,3
kale,0,1
laku,0,20
biduan,0,1
