key,label,frequency
captionnya,1,1
ajar,1,12
bahasa,1,2
inggris,1,1
personal,1,1
tdk,1,3
kenal,1,5
anie,1,1
betapa,1,2
mandiri,1,1
unggul,1,2
engkau,1,1
tebar,1,1
assalamualaikum,1,1
banda,1,1
aceh,1,1
nya,1,50
sikap,1,1
etika,1,1
perilaku,1,2
sungguh,1,6
bijaksana,1,2
calon,1,5
hangat,1,1
darmanto,1,1
rapi,1,1
photo,1,1
studio,1,1
senang,1,7
liat,1,21
nikmat,1,4
brsama,1,1
trs,1,3
memo,1,2
pepo,1,2
kisss,1,1
mebangun,1,1
maju,1,4
jokowi,1,6
kualitas,1,7
itulohhh,1,1
hihi,1,2
bangetsss,1,1
top,1,4
pake,1,12
drama,1,1
gimick,1,1
idupnya,1,1
tajir,1,2
via,1,3
sptnya,1,1
siyok,1,1
kejam,1,1
dunia,1,9
tetep,1,3
karya,1,7
dg,1,2
org,1,7
kaga,1,1
gimmickan,1,1
hidup,1,14
hitam,1,34
putih,1,35
kl,1,8
ngomong,1,4
blakan,1,1
ngga,1,4
pura,1,1
gw,1,7
munafik,1,1
ortu,1,2
palsu,1,1
onoh,1,1
noh,1,1
mulut,1,1
lebar,1,1
kya,1,2
gorong,1,1
tukang,1,1
ngibul,1,1
munfik,1,1
wartawan,1,1
omong,1,1
balance,1,1
go,1,4
head,1,1
cuekin,1,1
gaul,1,2
kerja,1,13
masyarakat,1,1
ertong,1,1
gatel,1,1
bin,1,1
sirik,1,2
anggep,1,1
kuman,1,1
status,1,1
bahan,1,2
ngetawain,1,1
nggak,1,2
abang,1,2
borisq,1,1
gk,1,7
bc,1,1
nmx,1,1
bner,1,1
ngeh,1,2
bang,1,13
bor,1,1
weewww,1,1
ak,1,1
baju,1,4
adat,1,1
karo,1,2
syip,1,1
anti,1,1
weding,1,1
masyaallah,1,3
gileee,1,1
suaraaanyaa,1,1
kereen,1,2
dr,1,9
nyanyi,1,9
asli,1,11
kereeeeeeeeeeeeeeennn,1,1
sampe,1,9
merinding,1,1
brrrrr,1,1
yatuhan,1,1
suaranyaaaaaaa,1,1
bangetttttttt,1,1
suara,1,28
merdu,1,1
coba,1,7
audisi,1,1
bakat,1,6
salur,1,1
drpd,1,1
modal,1,2
tampang,1,1
doang,1,1
pdhl,1,3
jelek,1,3
mending,1,4
emg,1,2
dasar,1,4
nasib,1,2
yak,1,3
dgrin,1,1
bulu,1,1
kuduk,1,1
saking,1,2
bgusnya,1,1
apik,1,1
subhanallah,1,2
getar,1,1
dengar,1,6
bagusss,1,1
sekolah,1,7
natural,1,4
usia,1,1
kerennnn,1,2
polos,1,2
tenar,1,3
gek,1,1
selebgram,1,1
novilda,1,1
dek,1,2
hilang,1,1
arah,1,2
cepat,1,9
tumbuh,1,1
asah,1,1
iniii,1,1
pingin,1,1
rambut,1,1
alusin,1,1
dl,1,1
kamera,1,1
hahaha,1,2
bnr,1,4
lelah,1,1
abis,1,7
pulang,1,2
ulang,1,2
sampet,1,1
alhamdulillah,1,17
kidz,1,1
zaman,1,2
niw,1,1
aduhh,1,1
enak,1,8
nge,1,1
jazz,1,1
gimanaa,1,1
gtu,1,3
ntr,1,2
hahahahahaha,1,1
skill,1,1
nomer,1,1
batu,1,1
abege,1,1
jaman,1,6
kereeen,1,3
nih,1,20
didengernya,1,1
bosen,1,3
puter,1,1
lipsing,1,1
gajelas,1,1
joget,1,1
waduuhhh,1,1
bangeeet,1,1
dedek,1,1
emeesh,1,1
yes,1,4
bingits,1,1
seandaix,1,1
video,1,9
sprt,1,1
gin,1,7
kreativ,1,1
dripda,1,1
mesum,1,1
ngelem,1,1
dll,1,1
bau,1,1
negativ,1,1
dosa,1,1
maluin,1,1
bagussss,1,2
permak,1,2
kayak,1,10
kereeeeennnn,1,1
santai,1,4
polossss,1,1
neko,1,5
jossss,1,1
yesssssss,1,1
kids,1,2
diksh,1,1
jempolllll,1,1
skul,1,1
yaakk,1,1
mase,1,1
palg,1,1
bando,1,1
mantap,1,15
tinggal,1,5
poles,1,1
dikit,1,2
sinar,1,1
pas,1,10
bnget,1,1
pecah,1,3
cakep,1,6
tmbh,1,1
viralkann,1,1
kereeeennnnnn,1,1
suaranyaaahh,1,1
okkeehh,1,1
ketjeeehh,1,1
